series_id	area_code	item_code	periodicity_code	base_period	footnote_codes	begin_year	begin_period	end_year	end_period
LIUR0000SL00001  	0000	SL00001	R	JANUARY 1941 = 100  		1941	M01	2009	M07
LIUR0000SL00002  	0000	SL00002	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00003  	0000	SL00003	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00004  	0000	SL00004	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00005  	0000	SL00005	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00006  	0000	SL00006	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00007  	0000	SL00007	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00008  	0000	SL00008	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00009  	0000	SL00009	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00010  	0000	SL00010	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00011  	0000	SL00011	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00012  	0000	SL00012	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00013  	0000	SL00013	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00014  	0000	SL00014	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00015  	0000	SL00015	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00016  	0000	SL00016	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00017  	0000	SL00017	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00018  	0000	SL00018	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00019  	0000	SL00019	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00020  	0000	SL00020	R	JANUARY 1941 = 100  		1953	M01	2009	M07
LIUR0000SL00021  	0000	SL00021	R	JANUARY 1986 = 100  		1986	M01	2009	M07
LIUR0000SL00022  	0000	SL00022	R	JANUARY 1986 = 100  		1986	M01	2009	M07
LIUR0000SL00023  	0000	SL00023	R	JANUARY 1986 = 100  		1986	M01	2009	M07
LIUR0000SLDUR    	0000	SLDUR	R	JANUARY 1941 = 100  		1941	M01	2009	M07
LIUR0000SLMISC   	0000	SLMISC	R	JANUARY 1986 = 100  		1986	M01	2009	M07
LIUR0000SLSOFT   	0000	SLSOFT	R	JANUARY 1941 = 100  		1941	M01	2009	M07
LIUR0000SLTOTAL  	0000	SLTOTAL	R	JANUARY 1941 = 100  		1944	M01	2009	M07
